LabelID,MapID,LabelName,R,G,B,A,Use
0,0,Unknown,0,0,0,0,0
1,1,Left-Cerebral-Exterior,70,130,180,0,0
2,2,Left-Cerebral-White-Matter,245,245,245,0,1
3,3,Left-Cerebral-Cortex,205,62,78,0,0
4,4,Left-Lateral-Ventricle,120,18,134,0,1
5,5,Left-Inf-Lat-Vent,196,58,250,0,1
6,6,Left-Cerebellum-Exterior,0,148,0,0,0
7,7,Left-Cerebellum-White-Matter,220,248,164,0,1
8,8,Left-Cerebellum-Cortex,230,148,34,0,1
9,9,Left-Thalamus-unused,0,118,14,0,0
10,10,Left-Thalamus,0,118,14,0,1
11,11,Left-Caudate,122,186,220,0,1
12,12,Left-Putamen,236,13,176,0,1
13,13,Left-Pallidum,12,48,255,0,1
14,14,3rd-Ventricle,204,182,142,0,1
15,15,4th-Ventricle,42,204,164,0,1
16,16,Brain-Stem,119,159,176,0,1
17,17,Left-Hippocampus,220,216,20,0,1
18,18,Left-Amygdala,103,255,255,0,1
19,19,Left-Insula,80,196,98,0,0
20,20,Left-Operculum,60,58,210,0,0
21,21,Line-1,60,58,210,0,0
22,22,Line-2,60,58,210,0,0
23,23,Line-3,60,58,210,0,0
24,24,CSF,60,60,60,0,1
25,25,Left-Lesion,255,165,0,0,0
26,26,Left-Accumbens-area,255,165,0,0,1
27,27,Left-Substancia-Nigra,0,255,127,0,0
28,28,Left-VentralDC,145,42,42,0,1
29,29,Left-undetermined,135,206,235,0,0
30,30,Left-vessel,160,32,240,0,1
31,31,Left-choroid-plexus,0,200,200,0,1
32,32,Left-F3orb,100,50,100,0,0
33,33,Left-aOg,122,135,50,0,0
34,34,Left-WMCrowns,225,225,255,0,0
35,35,Left-mOg,51,50,135,0,0
36,36,Left-pOg,74,155,60,0,0
37,37,Left-Stellate,120,62,43,0,0
38,38,Left-Porg,74,155,60,0,0
39,39,Left-Aorg,122,135,50,0,0
40,40,Right-Cerebral-Exterior,70,130,180,0,0
41,41,Right-Cerebral-White-Matter,245,245,245,0,1
42,42,Right-Cerebral-Cortex,205,62,78,0,0
43,43,Right-Lateral-Ventricle,120,18,134,0,1
44,44,Right-Inf-Lat-Vent,196,58,250,0,1
45,45,Right-Cerebellum-Exterior,0,148,0,0,0
46,46,Right-Cerebellum-White-Matter,220,248,164,0,1
47,47,Right-Cerebellum-Cortex,230,148,34,0,1
48,48,Right-Thalamus-unused,0,118,14,0,0
49,49,Right-Thalamus,0,118,14,0,1
50,50,Right-Caudate,122,186,220,0,1
51,51,Right-Putamen,236,13,176,0,1
52,52,Right-Pallidum,13,48,255,0,1
53,53,Right-Hippocampus,220,216,20,0,1
54,54,Right-Amygdala,103,255,255,0,1
55,55,Right-Insula,80,196,98,0,0
56,56,Right-Operculum,60,58,210,0,0
57,57,Right-Lesion,255,165,0,0,0
58,58,Right-Accumbens-area,255,165,0,0,1
59,59,Right-Substancia-Nigra,0,255,127,0,0
60,60,Right-VentralDC,165,42,42,0,1
61,61,Right-undetermined,135,206,235,0,0
62,62,Right-vessel,160,32,240,0,1
63,63,Right-choroid-plexus,0,200,221,0,1
64,64,Right-F3orb,100,50,100,0,0
65,65,Right-lOg,135,50,74,0,0
66,66,Right-WMCrowns,215,215,255,0,0
67,67,Right-mOg,51,50,135,0,0
68,68,Right-pOg,74,155,60,0,0
69,69,Right-Stellate,120,62,43,0,0
70,70,Right-Porg,74,155,60,0,0
71,71,Right-Aorg,122,135,50,0,0
72,72,5th-Ventricle,120,190,150,0,1
73,73,Left-Interior,122,135,50,0,0
74,74,Right-Interior,122,135,50,0,0
75,75,Left-Locus-Coeruleus,91,97,255,0,0
76,76,Right-Locus-Coeruleus,0,7,218,0,0
77,77,WM-hypointensities,200,70,255,0,1
78,78,Left-WM-hypointensities,255,148,10,0,0
79,79,Right-WM-hypointensities,255,148,10,0,0
80,80,non-WM-hypointensities,164,108,226,0,1
81,81,Left-non-WM-hypointensities,164,108,226,0,0
82,82,Right-non-WM-hypointensities,164,108,226,0,0
83,83,Left-F1,255,218,185,0,0
84,84,Right-F1,255,218,185,0,0
85,85,Optic-Chiasm,234,169,30,0,1
192,86,Corpus_Callosum,170,255,255,0,0
86,87,Left_future_WMSA,200,120,255,0,0
87,88,Right_future_WMSA,200,121,255,0,0
88,89,future_WMSA,200,122,255,0,0
96,90,Left-Amygdala-Anterior,205,10,125,0,0
97,91,Right-Amygdala-Anterior,205,10,125,0,0
98,92,Dura,160,32,240,0,0
99,93,Lesion,255,165,0,0,0
251,94,CC_Posterior,0,0,64,0,1
252,95,CC_Mid_Posterior,0,0,112,0,1
253,96,CC_Central,0,0,160,0,1
254,97,CC_Mid_Anterior,0,0,208,0,1
255,98,CC_Anterior,0,0,255,0,1
1000,99,ctx-lh-unknown,25,5,25,0,1
1001,100,ctx-lh-bankssts,25,100,40,0,1
1002,101,ctx-lh-caudalanteriorcingulate,125,100,160,0,1
1003,102,ctx-lh-caudalmiddlefrontal,100,25,0,0,1
1004,103,ctx-lh-corpuscallosum,120,70,50,0,0
1005,104,ctx-lh-cuneus,220,20,100,0,1
1006,105,ctx-lh-entorhinal,220,20,10,0,1
1007,106,ctx-lh-fusiform,180,220,140,0,1
1008,107,ctx-lh-inferiorparietal,220,60,220,0,1
1009,108,ctx-lh-inferiortemporal,180,40,120,0,1
1010,109,ctx-lh-isthmuscingulate,140,20,140,0,1
1011,110,ctx-lh-lateraloccipital,20,30,140,0,1
1012,111,ctx-lh-lateralorbitofrontal,35,75,50,0,1
1013,112,ctx-lh-lingual,225,140,140,0,1
1014,113,ctx-lh-medialorbitofrontal,200,35,75,0,1
1015,114,ctx-lh-middletemporal,160,100,50,0,1
1016,115,ctx-lh-parahippocampal,20,220,60,0,1
1017,116,ctx-lh-paracentral,60,220,60,0,1
1018,117,ctx-lh-parsopercularis,220,180,140,0,1
1019,118,ctx-lh-parsorbitalis,20,100,50,0,1
1020,119,ctx-lh-parstriangularis,220,60,20,0,1
1021,120,ctx-lh-pericalcarine,120,100,60,0,1
1022,121,ctx-lh-postcentral,220,20,20,0,1
1023,122,ctx-lh-posteriorcingulate,220,180,220,0,1
1024,123,ctx-lh-precentral,60,20,220,0,1
1025,124,ctx-lh-precuneus,160,140,180,0,1
1026,125,ctx-lh-rostralanteriorcingulate,80,20,140,0,1
1027,126,ctx-lh-rostralmiddlefrontal,75,50,125,0,1
1028,127,ctx-lh-superiorfrontal,20,220,160,0,1
1029,128,ctx-lh-superiorparietal,20,180,140,0,1
1030,129,ctx-lh-superiortemporal,140,220,220,0,1
1031,130,ctx-lh-supramarginal,80,160,20,0,1
1032,131,ctx-lh-frontalpole,100,0,100,0,1
1033,132,ctx-lh-temporalpole,70,70,70,0,1
1034,133,ctx-lh-transversetemporal,150,150,200,0,1
1035,134,ctx-lh-insula,255,192,32,0,1
2000,135,ctx-rh-unknown,25,5,25,0,1
2001,136,ctx-rh-bankssts,25,100,40,0,1
2002,137,ctx-rh-caudalanteriorcingulate,125,100,160,0,1
2003,138,ctx-rh-caudalmiddlefrontal,100,25,0,0,1
2004,139,ctx-rh-corpuscallosum,120,70,50,0,0
2005,140,ctx-rh-cuneus,220,20,100,0,1
2006,141,ctx-rh-entorhinal,220,20,10,0,1
2007,142,ctx-rh-fusiform,180,220,140,0,1
2008,143,ctx-rh-inferiorparietal,220,60,220,0,1
2009,144,ctx-rh-inferiortemporal,180,40,120,0,1
2010,145,ctx-rh-isthmuscingulate,140,20,140,0,1
2011,146,ctx-rh-lateraloccipital,20,30,140,0,1
2012,147,ctx-rh-lateralorbitofrontal,35,75,50,0,1
2013,148,ctx-rh-lingual,225,140,140,0,1
2014,149,ctx-rh-medialorbitofrontal,200,35,75,0,1
2015,150,ctx-rh-middletemporal,160,100,50,0,1
2016,151,ctx-rh-parahippocampal,20,220,60,0,1
2017,152,ctx-rh-paracentral,60,220,60,0,1
2018,153,ctx-rh-parsopercularis,220,180,140,0,1
2019,154,ctx-rh-parsorbitalis,20,100,50,0,1
2020,155,ctx-rh-parstriangularis,220,60,20,0,1
2021,156,ctx-rh-pericalcarine,120,100,60,0,1
2022,157,ctx-rh-postcentral,220,20,20,0,1
2023,158,ctx-rh-posteriorcingulate,220,180,220,0,1
2024,159,ctx-rh-precentral,60,20,220,0,1
2025,160,ctx-rh-precuneus,160,140,180,0,1
2026,161,ctx-rh-rostralanteriorcingulate,80,20,140,0,1
2027,162,ctx-rh-rostralmiddlefrontal,75,50,125,0,1
2028,163,ctx-rh-superiorfrontal,20,220,160,0,1
2029,164,ctx-rh-superiorparietal,20,180,140,0,1
2030,165,ctx-rh-superiortemporal,140,220,220,0,1
2031,166,ctx-rh-supramarginal,80,160,20,0,1
2032,167,ctx-rh-frontalpole,100,0,100,0,1
2033,168,ctx-rh-temporalpole,70,70,70,0,1
2034,169,ctx-rh-transversetemporal,150,150,200,0,1
2035,170,ctx-rh-insula,255,192,32,0,1
